Dataset,Learning Rate,Dropout,Units,Batch Size,F1 Avg,F1 Std,Recall Avg,Recall Std,Precision Avg,Precision Std,Accuracy Avg,Accuracy Std,Iterations
Oversampled,0.001,0.1,32,32,0.7898475473051745,0.05002905667011673,0.912,0.016000000000000014,0.7009338076368398,0.07683289507073585,0.9991259603862692,0.0002840550035893524,5
SMOTE,0.001,0.1,32,32,0.8253119429590017,0.017779585283378856,0.8880000000000001,0.02993325909419156,0.7718832891246684,0.02616023605111781,0.9993374215831394,7.188298461397389e-05,5
Unsampled,0.001,0.2,32,32,0.8411212428233705,0.016976961014760136,0.784,0.03199999999999999,0.9095454545454544,0.03626121940941658,0.9994783957143863,5.638965249876726e-05,5
Undersampled,0.001,0.2,32,32,0.10405108169230416,0.011449750979429348,0.952,0.029933259094191512,0.05507173234467587,0.006395242622804814,0.9707478677662648,0.003462630017377043,5
Oversampled,0.001,0.2,32,32,0.7961743194924776,0.016187410709142636,0.9200000000000002,1.1102230246251563e-16,0.7021192714622506,0.02531458047165809,0.9991682526256432,8.220133777182351e-05,5
SMOTE,0.001,0.2,32,32,0.7958021940164185,0.0365198485717505,0.8880000000000001,0.0466476151587624,0.7220072266443234,0.04038759662989587,0.9991964474518924,0.00014514175147651846,5
Unsampled,0.0005,0.2,32,32,0.8297571993224165,0.03579683617818264,0.7440000000000001,0.054258639865002144,0.9433366023755041,0.05349286955947757,0.9994642983012618,0.00010549537990481407,5
Undersampled,0.0005,0.2,32,32,0.135940124443184,0.019269853373786932,0.9200000000000002,1.1102230246251563e-16,0.07351977669881672,0.011271541205520328,0.9789102699654612,0.003424946136955856,5
Oversampled,0.0005,0.2,32,32,0.7887108345555585,0.02839253432436472,0.904,0.01959591794226544,0.7016651605475788,0.04893171185536207,0.9991400577993936,0.00015698214880749864,5
SMOTE,0.0005,0.2,32,32,0.7988300462876734,0.02934431326843589,0.8720000000000001,0.046647615158762416,0.7395539948769028,0.04290020014583154,0.9992246422781421,0.00012609109621482205,5
Unsampled,0.0005,0.1,32,32,0.848658649398705,0.037982406998125134,0.784,0.03199999999999999,0.9251082251082252,0.0468173362237083,0.9995065905406356,0.00012609109621482205,5
Undersampled,0.0005,0.1,32,32,0.11827407178498958,0.011065135083067003,0.9359999999999999,0.019595917942265388,0.0631645127531166,0.006301217374078265,0.9751744554874181,0.0025509696564500195,5
Oversampled,0.0005,0.1,32,32,0.8092777850333028,0.05175210028397557,0.9120000000000001,0.016000000000000014,0.732836229086229,0.0885232221508935,0.9992246422781419,0.0002599434540718409,5
SMOTE,0.0005,0.1,32,32,0.784334870284944,0.03603665963495098,0.8720000000000001,0.046647615158762416,0.7139003353894899,0.04083703699213802,0.9991541552125185,0.0001478549162148786,5
Unsampled,0.001,0.1,32,16,0.8475870058168194,0.0547360026333506,0.776,0.09666436778875659,0.9468944099378882,0.04353195934659379,0.9995206879537605,0.00013667949129251083,5
Undersampled,0.001,0.1,32,16,0.0950071547782739,0.010840560376792001,0.968,0.029933259094191523,0.049994361118795516,0.006047977913875036,0.9670825403538451,0.003827648864237993,5
Oversampled,0.001,0.1,32,16,0.787298030916452,0.04083308728753208,0.9040000000000001,0.03200000000000003,0.7020161782661782,0.07045321210987641,0.9991259603862691,0.00022992185000777438,5
SMOTE,0.001,0.1,32,16,0.7925522659270531,0.03971227238427741,0.8800000000000001,0.04381780460041329,0.7244653630683043,0.06416940899992714,0.9991823500387678,0.00017607663349260207,5
